film,studio,rotten_tomatoes,genre,worldwide_gross,budget,profitability,year
300,warner bros,60.00,Action,456.07,65.00,7.02,2007
3:10 to Yuma,lionsgate,88.00,Western,69.78,48.00,1.45,2007
30 Days of Night,independent,50.00,Horror,75.10,32.00,2.35,2007
Across the Universe,independent,54.00,Romance,29.37,45.00,0.65,2007
Alien vs. Predator -- Requiem,fox,14.00,Horror,128.88,40.00,3.22,2007
Alvin and the Chipmunks,fox,26.00,Animation,360.47,70.00,5.15,2007
American Gangster,universal,79.00,Thriller,267.90,100.00,2.68,2007
Bee Movie,paramount,52.00,Animation,287.12,150.00,1.91,2007
Beowulf,paramount,71.00,Action,196.26,150.00,1.31,2007
Blades of Glory,paramount,69.00,Comedy,145.71,61.00,2.39,2007
Charlie Wilson's War,universal,82.00,Biography,118.48,75.00,1.58,2007
Daddy Day Camp,sony,1.00,Comedy,18.20,6.00,3.03,2007
Disturbia,paramount,67.00,Thriller,117.76,20.00,5.89,2007
Dragon Wars (aka D-War),mediaplex,27.00,Action,74.25,75.00,0.99,2007
Enchanted,disney,93.00,Comedy,340.49,85.00,4.01,2007
Epic Movie,independent,2.00,Comedy,86.87,20.00,4.34,2007
Evan Almighty,universal,23.00,Comedy,173.39,175.00,0.99,2007
Fantastic Four: Rise of the Silver Surfer,fox,35.00,Action,289.05,130.00,2.22,2007
Ghost Rider,sony,28.00,Action,228.74,110.00,2.08,2007
Good Luck Chuck,lionsgate,3.00,Comedy,59.19,25.00,2.37,2007
Grindhouse,the weinstein company,82.00,Action,50.19,53.00,0.95,2007
Hairspray,warner bros,92.00,Musical,202.55,75.00,2.70,2007
Halloween,the weinstein company,26.00,Horror,78.47,20.00,3.92,2007
Happily N'Ever After,lionsgate,4.00,Animation,38.08,47.00,0.81,2007
Harry Potter and the Order of the Phoenix,warner bros,78.00,Adventure,939.88,150.00,6.27,2007
Hitman,fox,15.00,Action,99.96,17.50,5.71,2007
Hostel: Part II,lionsgate,44.00,Horror,35.62,10.00,3.56,2007
I Am Legend,warner bros,69.00,Thriller,584.16,150.00,3.89,2007
I Now Pronounce You Chuck and Larry,universal,13.00,Comedy,186.05,85.00,2.19,2007
In the Land of Women,warner bros,43.00,Comedy,17.56,10.00,1.76,2007
Into the Wild,paramount,82.00,Drama,55.63,15.00,3.71,2007
Juno,fox,94.00,Comedy,231.18,7.50,30.82,2007
Knocked Up,universal,91.00,Comedy,219.00,33.00,6.64,2007
License to Wed,warner bros,8.00,Comedy,69.31,35.00,1.98,2007
Lions for Lambs,independent,27.00,Drama,63.21,35.00,1.81,2007
